Country,Lost,Won,2-way Draw,3-way Draw,4-way Draw,5-way Draw,6-way Draw,7-way Draw
England,51696.0,9420.0,3792.0,6746.0,2605.0,837.0,1169.0,533.0
France,55453.0,5496.0,4152.0,6481.0,2737.0,770.0,1176.0,533.0
Italy,62914.0,3054.0,2782.0,4403.0,2166.0,669.0,278.0,532.0
Germany,58673.0,4820.0,3321.0,5387.0,2156.0,752.0,1157.0,532.0
Austria,56215.0,8457.0,2980.0,4656.0,2088.0,718.0,1151.0,533.0
Turkey,54340.0,6512.0,4305.0,6451.0,2730.0,747.0,1180.0,533.0
Russia,57651.0,6690.0,3839.0,4301.0,1991.0,634.0,1159.0,533.0
